Date,Open,High,Low,Close,Adj Close,Volume,Next Price,Day _n-1 Price,Day _n-2 Price,Day _n-3 Price,Day _n-4 Price,Day _n-5 Price
2017-01-03,28.950000762939453,29.082500457763672,28.690000534057617,29.037500381469727,27.023704528808594,115127600,29.0049991607666,,,,,
2017-01-04,28.962499618530273,29.127500534057617,28.9375,29.0049991607666,26.993453979492188,84472400,29.15250015258789,29.037500381469727,,,,
2017-01-05,28.979999542236328,29.21500015258789,28.952499389648438,29.15250015258789,27.130727767944336,88774400,29.477500915527344,29.0049991607666,29.037500381469727,,,
2017-01-06,29.19499969482422,29.540000915527344,29.11750030517578,29.477500915527344,27.43319320678711,127007600,29.747499465942383,29.15250015258789,29.0049991607666,29.037500381469727,,
2017-01-09,29.487499237060547,29.857500076293945,29.485000610351562,29.747499465942383,27.684467315673828,134247600,29.77750015258789,29.477500915527344,29.15250015258789,29.0049991607666,29.037500381469727,
2017-01-10,29.6924991607666,29.844999313354492,29.575000762939453,29.77750015258789,27.712383270263672,97848400,29.9375,29.747499465942383,29.477500915527344,29.15250015258789,29.0049991607666,29.037500381469727
2017-01-11,29.684999465942383,29.982500076293945,29.649999618530273,29.9375,27.86128807067871,110354400,29.8125,29.77750015258789,29.747499465942383,29.477500915527344,29.15250015258789,29.0049991607666
2017-01-12,29.725000381469727,29.825000762939453,29.552499771118164,29.8125,27.74495506286621,108344800,29.760000228881836,29.9375,29.77750015258789,29.747499465942383,29.477500915527344,29.15250015258789
2017-01-13,29.77750015258789,29.905000686645508,29.702499389648438,29.760000228881836,27.696096420288086,104447600,30.0,29.8125,29.9375,29.77750015258789,29.747499465942383,29.477500915527344
2017-01-17,29.584999084472656,30.059999465942383,29.55500030517578,30.0,27.91945457458496,137759200,29.997499465942383,29.760000228881836,29.8125,29.9375,29.77750015258789,29.747499465942383
2017-01-18,30.0,30.125,29.927499771118164,29.997499465942383,27.91712760925293,94852000,29.94499969482422,30.0,29.760000228881836,29.8125,29.9375,29.77750015258789
2017-01-19,29.850000381469727,30.022499084472656,29.842500686645508,29.94499969482422,27.868270874023438,102389200,30.0,29.997499465942383,30.0,29.760000228881836,29.8125,29.9375
2017-01-20,30.112499237060547,30.112499237060547,29.9325008392334,30.0,27.91945457458496,130391600,30.020000457763672,29.94499969482422,29.997499465942383,30.0,29.760000228881836,29.8125
2017-01-23,30.0,30.202499389648438,29.9424991607666,30.020000457763672,27.938066482543945,88200800,29.99250030517578,30.0,29.94499969482422,29.997499465942383,30.0,29.760000228881836
2017-01-24,29.887500762939453,30.024999618530273,29.875,29.99250030517578,27.912477493286133,92844000,30.469999313354492,30.020000457763672,30.0,29.94499969482422,29.997499465942383,30.0
2017-01-25,30.104999542236328,30.524999618530273,30.06999969482422,30.469999313354492,28.356861114501953,129510400,30.485000610351562,29.99250030517578,30.020000457763672,30.0,29.94499969482422,29.997499465942383
2017-01-26,30.417499542236328,30.610000610351562,30.399999618530273,30.485000610351562,28.370820999145508,105350400,30.487499237060547,30.469999313354492,29.99250030517578,30.020000457763672,30.0,29.94499969482422
